File Updated: 01-Jul-2024 ,,,,,,,,,,,,,,,,,,,,,,,,,
Data version 2.4 ,,,,,,,,,,,,,,,,,,,,,,,,,
"Site:"" Abu Dhabi"," UAE"" ",,,,,,,,,,,,,,,,,,,,,,,,
Site_Code,Latitude,Longitude,Elevation_meters,Filter_ID,Start_Year_local,Start_Month_local,Start_Day_local,Start_hour_local,End_Year_local,End_Month_local,End_Day_local,End_hour_local,Hours_sampled,Parameter_Code,Parameter_Name,Value,Units,Analytical_MDL,MDL,UNC,Method_Code,Collection_Description,Analysis_Description,Conditions,Flag
AEAZ,24.4416,54.6166,4, AEAZ-0033,2019,4,26,9,2019,5,5,9,24,28101, Filter PM2.5 mass,29.81, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,115,  AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Gravimetric; mass concentration presented at RH = 35%,Ambient local,
AEAZ,24.4416,54.6166,4, AEAZ-0034,2019,5,5,9,2019,5,14,9,24,28101, Filter PM2.5 mass,36.91, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,115,  AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Gravimetric; mass concentration presented at RH = 35%,Ambient local,
AEAZ,24.4416,54.6166,4, AEAZ-0035,2019,5,14,9,2019,5,23,9,24,28101, Filter PM2.5 mass,36.7, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,115,  AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Gravimetric; mass concentration presented at RH = 35%,Ambient local,
AEAZ,24.4416,54.6166,4, AEAZ-0036,2019,5,23,9,2019,6,1,9,24,28101, Filter PM2.5 mass,40.17, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,115,  AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Gravimetric; mass concentration presented at RH = 35%,Ambient local,
AEAZ,24.4416,54.6166,4, AEAZ-0037,2019,6,1,9,2019,6,10,9,24,28101, Filter PM2.5 mass,46.05, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,115,  AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Gravimetric; mass concentration presented at RH = 35%,Ambient local,VIH
AEAZ,24.4416,54.6166,4, AEAZ-0038,2019,6,10,9,2019,6,18,9,24,28101, Filter PM2.5 mass,54.03, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,115,  AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Gravimetric; mass concentration presented at RH = 35%,Ambient local,
AEAZ,24.4416,54.6166,4, AEAZ-0033,2019,4,26,9,2019,5,5,9,24,28401, Sulfate Ion PM2.5,12.09, Micrograms per cubic meter (ug/m3), NaN,3.30105,NaN,315,  AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
AEAZ,24.4416,54.6166,4, AEAZ-0034,2019,5,5,9,2019,5,14,9,24,28401, Sulfate Ion PM2.5,14.17, Micrograms per cubic meter (ug/m3), NaN,3.30105,NaN,315,  AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
AEAZ,24.4416,54.6166,4, AEAZ-0035,2019,5,14,9,2019,5,23,9,24,28401, Sulfate Ion PM2.5,13.79, Micrograms per cubic meter (ug/m3), NaN,3.30105,NaN,315,  AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
AEAZ,24.4416,54.6166,4, AEAZ-0036,2019,5,23,9,2019,6,1,9,24,28401, Sulfate Ion PM2.5,19.66, Micrograms per cubic meter (ug/m3), NaN,3.30105,NaN,315,  AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
